Lady Gaga,U2
Rise Against,U2
Radiohead,U2
Red Hot Chili Peppers,U2
Lady Gaga,Moby
Rise Against,Moby
Radiohead,Moby
Red Hot Chili Peppers,Moby
Lady Gaga,Coldplay
Rise Against,Coldplay
Radiohead,Coldplay
Red Hot Chili Peppers,Coldplay
Lady Gaga,Iron Maiden
Rise Against,Iron Maiden
Radiohead,Iron Maiden
Red Hot Chili Peppers,Iron Maiden
Lady Gaga,Pink Floyd
Rise Against,Pink Floyd
Radiohead,Pink Floyd
Red Hot Chili Peppers,Pink Floyd
Lady Gaga,Metallica
Rise Against,Metallica
Radiohead,Metallica
Red Hot Chili Peppers,Metallica
Lady Gaga,James Horner
Rise Against,James Horner
Radiohead,James Horner
Red Hot Chili Peppers,James Horner
Lady Gaga,Steve Jablonsky
Rise Against,Steve Jablonsky
Radiohead,Steve Jablonsky
Red Hot Chili Peppers,Steve Jablonsky
Lady Gaga,Bloom 06
Rise Against,Bloom 06
Radiohead,Bloom 06
Red Hot Chili Peppers,Bloom 06
Lady Gaga,Manu Chao
Rise Against,Manu Chao
Radiohead,Manu Chao
Red Hot Chili Peppers,Manu Chao
Lady Gaga,Eiffel 65
Rise Against,Eiffel 65
Radiohead,Eiffel 65
Red Hot Chili Peppers,Eiffel 65
Lady Gaga,Black Sabbath
Rise Against,Black Sabbath
Radiohead,Black Sabbath
Red Hot Chili Peppers,Black Sabbath
Lady Gaga,Steve Winwood
Rise Against,Steve Winwood
Radiohead,Steve Winwood
Red Hot Chili Peppers,Steve Winwood
Lady Gaga,R.E.M.
Rise Against,R.E.M.
Radiohead,R.E.M.
Red Hot Chili Peppers,R.E.M.
Lady Gaga,Depeche Mode
Rise Against,Depeche Mode
Radiohead,Depeche Mode
Red Hot Chili Peppers,Depeche Mode
Lady Gaga,The Kinks
Rise Against,The Kinks
Radiohead,The Kinks
Red Hot Chili Peppers,The Kinks
Lady Gaga,The Police
Rise Against,The Police
Radiohead,The Police
Red Hot Chili Peppers,The Police
Lady Gaga,Radiohead
Rise Against,Radiohead
Red Hot Chili Peppers,Radiohead
Lady Gaga,Madonna
Rise Against,Madonna
Radiohead,Madonna
Red Hot Chili Peppers,Madonna
Lady Gaga,Led Zeppelin
Rise Against,Led Zeppelin
Radiohead,Led Zeppelin
Red Hot Chili Peppers,Led Zeppelin
Lady Gaga,Era
Rise Against,Era
Radiohead,Era
Red Hot Chili Peppers,Era
Lady Gaga,Jimi Hendrix
Rise Against,Jimi Hendrix
Radiohead,Jimi Hendrix
Red Hot Chili Peppers,Jimi Hendrix
Lady Gaga,Mike Oldfield
Rise Against,Mike Oldfield
Radiohead,Mike Oldfield
Red Hot Chili Peppers,Mike Oldfield
Lady Gaga,Hans Zimmer
Rise Against,Hans Zimmer
Radiohead,Hans Zimmer
Red Hot Chili Peppers,Hans Zimmer
Lady Gaga,David Bowie
Rise Against,David Bowie
Radiohead,David Bowie
Red Hot Chili Peppers,David Bowie
Lady Gaga,Motörhead
Rise Against,Motörhead
Radiohead,Motörhead
Red Hot Chili Peppers,Motörhead
Lady Gaga,Lucio Battisti
Rise Against,Lucio Battisti
Radiohead,Lucio Battisti
Red Hot Chili Peppers,Lucio Battisti
Lady Gaga,The Alan Parsons Project
Rise Against,The Alan Parsons Project
Radiohead,The Alan Parsons Project
Red Hot Chili Peppers,The Alan Parsons Project
Lady Gaga,Mario Biondi
Rise Against,Mario Biondi
Radiohead,Mario Biondi
Red Hot Chili Peppers,Mario Biondi
Lady Gaga,Bryan Ferry
Rise Against,Bryan Ferry
Radiohead,Bryan Ferry
Red Hot Chili Peppers,Bryan Ferry
Lady Gaga,John Williams
Rise Against,John Williams
Radiohead,John Williams
Red Hot Chili Peppers,John Williams
Lady Gaga,Kansas
Rise Against,Kansas
Radiohead,Kansas
Red Hot Chili Peppers,Kansas
Lady Gaga,Robert Miles
Rise Against,Robert Miles
Radiohead,Robert Miles
Red Hot Chili Peppers,Robert Miles
Lady Gaga,Jethro Tull
Rise Against,Jethro Tull
Radiohead,Jethro Tull
Red Hot Chili Peppers,Jethro Tull
Lady Gaga,Frank Sinatra
Rise Against,Frank Sinatra
Radiohead,Frank Sinatra
Red Hot Chili Peppers,Frank Sinatra
Lady Gaga,Ramones
Rise Against,Ramones
Radiohead,Ramones
Red Hot Chili Peppers,Ramones
Lady Gaga,Barry White
Rise Against,Barry White
Radiohead,Barry White
Red Hot Chili Peppers,Barry White
Lady Gaga,Van Halen
Rise Against,Van Halen
Radiohead,Van Halen
Red Hot Chili Peppers,Van Halen
Lady Gaga,Supertramp
Rise Against,Supertramp
Radiohead,Supertramp
Red Hot Chili Peppers,Supertramp
Lady Gaga,Muse
Rise Against,Muse
Radiohead,Muse
Red Hot Chili Peppers,Muse
Lady Gaga,Johnny Cash
Rise Against,Johnny Cash
Radiohead,Johnny Cash
Red Hot Chili Peppers,Johnny Cash
Lady Gaga,Cat Stevens
Rise Against,Cat Stevens
Radiohead,Cat Stevens
Red Hot Chili Peppers,Cat Stevens
Lady Gaga,Creedence Clearwater Revival
Rise Against,Creedence Clearwater Revival
Radiohead,Creedence Clearwater Revival
Red Hot Chili Peppers,Creedence Clearwater Revival
Lady Gaga,Perry Como
Rise Against,Perry Como
Radiohead,Perry Como
Red Hot Chili Peppers,Perry Como
Lady Gaga,Deep Purple
Rise Against,Deep Purple
Radiohead,Deep Purple
Red Hot Chili Peppers,Deep Purple
Lady Gaga,Enigma
Rise Against,Enigma
Radiohead,Enigma
Red Hot Chili Peppers,Enigma
Lady Gaga,Bruce Springsteen
Rise Against,Bruce Springsteen
Radiohead,Bruce Springsteen
Red Hot Chili Peppers,Bruce Springsteen
Lady Gaga,Skid Row
Rise Against,Skid Row
Radiohead,Skid Row
Red Hot Chili Peppers,Skid Row
Lady Gaga,America
Rise Against,America
Radiohead,America
Red Hot Chili Peppers,America
Lady Gaga,Gipsy Kings
Rise Against,Gipsy Kings
Radiohead,Gipsy Kings
Red Hot Chili Peppers,Gipsy Kings
The Beatles,U2
Taylor Swift,U2
All Time Low,U2
Ke$ha,U2
Cobra Starship,U2
Avril Lavigne,U2
The Kooks,U2
3OH!3,U2
Vampire Weekend,U2
blink-182,U2
Oasis,U2
The Beatles,Moby
Taylor Swift,Moby
All Time Low,Moby
Ke$ha,Moby
Cobra Starship,Moby
Avril Lavigne,Moby
The Kooks,Moby
3OH!3,Moby
Vampire Weekend,Moby
blink-182,Moby
Oasis,Moby
The Beatles,Coldplay
Taylor Swift,Coldplay
All Time Low,Coldplay
Ke$ha,Coldplay
Cobra Starship,Coldplay
Avril Lavigne,Coldplay
The Kooks,Coldplay
3OH!3,Coldplay
Vampire Weekend,Coldplay
blink-182,Coldplay
Oasis,Coldplay
The Beatles,Iron Maiden
Taylor Swift,Iron Maiden
All Time Low,Iron Maiden
Ke$ha,Iron Maiden
Cobra Starship,Iron Maiden
Avril Lavigne,Iron Maiden
The Kooks,Iron Maiden
3OH!3,Iron Maiden
Vampire Weekend,Iron Maiden
blink-182,Iron Maiden
Oasis,Iron Maiden
The Beatles,Pink Floyd
Taylor Swift,Pink Floyd
All Time Low,Pink Floyd
Ke$ha,Pink Floyd
Cobra Starship,Pink Floyd
Avril Lavigne,Pink Floyd
The Kooks,Pink Floyd
3OH!3,Pink Floyd
Vampire Weekend,Pink Floyd
blink-182,Pink Floyd
Oasis,Pink Floyd
The Beatles,Metallica
Taylor Swift,Metallica
All Time Low,Metallica
Ke$ha,Metallica
Cobra Starship,Metallica
Avril Lavigne,Metallica
The Kooks,Metallica
3OH!3,Metallica
Vampire Weekend,Metallica
blink-182,Metallica
Oasis,Metallica
The Beatles,James Horner
Taylor Swift,James Horner
All Time Low,James Horner
Ke$ha,James Horner
Cobra Starship,James Horner
Avril Lavigne,James Horner
The Kooks,James Horner
3OH!3,James Horner
Vampire Weekend,James Horner
blink-182,James Horner
Oasis,James Horner
The Beatles,Steve Jablonsky
Taylor Swift,Steve Jablonsky
All Time Low,Steve Jablonsky
Ke$ha,Steve Jablonsky
Cobra Starship,Steve Jablonsky
Avril Lavigne,Steve Jablonsky
The Kooks,Steve Jablonsky
3OH!3,Steve Jablonsky
Vampire Weekend,Steve Jablonsky
blink-182,Steve Jablonsky
Oasis,Steve Jablonsky
The Beatles,Bloom 06
Taylor Swift,Bloom 06
All Time Low,Bloom 06
Ke$ha,Bloom 06
Cobra Starship,Bloom 06
Avril Lavigne,Bloom 06
The Kooks,Bloom 06
3OH!3,Bloom 06
Vampire Weekend,Bloom 06
blink-182,Bloom 06
Oasis,Bloom 06
The Beatles,Manu Chao
Taylor Swift,Manu Chao
All Time Low,Manu Chao
Ke$ha,Manu Chao
Cobra Starship,Manu Chao
Avril Lavigne,Manu Chao
The Kooks,Manu Chao
3OH!3,Manu Chao
Vampire Weekend,Manu Chao
blink-182,Manu Chao
Oasis,Manu Chao
The Beatles,Eiffel 65
Taylor Swift,Eiffel 65
All Time Low,Eiffel 65
Ke$ha,Eiffel 65
Cobra Starship,Eiffel 65
Avril Lavigne,Eiffel 65
The Kooks,Eiffel 65
3OH!3,Eiffel 65
Vampire Weekend,Eiffel 65
blink-182,Eiffel 65
Oasis,Eiffel 65
The Beatles,Black Sabbath
Taylor Swift,Black Sabbath
All Time Low,Black Sabbath
Ke$ha,Black Sabbath
Cobra Starship,Black Sabbath
Avril Lavigne,Black Sabbath
The Kooks,Black Sabbath
3OH!3,Black Sabbath
Vampire Weekend,Black Sabbath
blink-182,Black Sabbath
Oasis,Black Sabbath
The Beatles,Steve Winwood
Taylor Swift,Steve Winwood
All Time Low,Steve Winwood
Ke$ha,Steve Winwood
Cobra Starship,Steve Winwood
Avril Lavigne,Steve Winwood
The Kooks,Steve Winwood
3OH!3,Steve Winwood
Vampire Weekend,Steve Winwood
blink-182,Steve Winwood
Oasis,Steve Winwood
The Beatles,R.E.M.
Taylor Swift,R.E.M.
All Time Low,R.E.M.
Ke$ha,R.E.M.
Cobra Starship,R.E.M.
Avril Lavigne,R.E.M.
The Kooks,R.E.M.
3OH!3,R.E.M.
Vampire Weekend,R.E.M.
blink-182,R.E.M.
Oasis,R.E.M.
The Beatles,Depeche Mode
Taylor Swift,Depeche Mode
All Time Low,Depeche Mode
Ke$ha,Depeche Mode
Cobra Starship,Depeche Mode
Avril Lavigne,Depeche Mode
The Kooks,Depeche Mode
3OH!3,Depeche Mode
Vampire Weekend,Depeche Mode
blink-182,Depeche Mode
Oasis,Depeche Mode
The Beatles,The Kinks
Taylor Swift,The Kinks
All Time Low,The Kinks
Ke$ha,The Kinks
Cobra Starship,The Kinks
Avril Lavigne,The Kinks
The Kooks,The Kinks
3OH!3,The Kinks
Vampire Weekend,The Kinks
blink-182,The Kinks
Oasis,The Kinks
The Beatles,The Police
Taylor Swift,The Police
All Time Low,The Police
Ke$ha,The Police
Cobra Starship,The Police
Avril Lavigne,The Police
The Kooks,The Police
3OH!3,The Police
Vampire Weekend,The Police
blink-182,The Police
Oasis,The Police
The Beatles,Radiohead
Taylor Swift,Radiohead
All Time Low,Radiohead
Ke$ha,Radiohead
Cobra Starship,Radiohead
Avril Lavigne,Radiohead
The Kooks,Radiohead
3OH!3,Radiohead
Vampire Weekend,Radiohead
blink-182,Radiohead
Oasis,Radiohead
The Beatles,Madonna
Taylor Swift,Madonna
All Time Low,Madonna
Ke$ha,Madonna
Cobra Starship,Madonna
Avril Lavigne,Madonna
The Kooks,Madonna
3OH!3,Madonna
Vampire Weekend,Madonna
blink-182,Madonna
Oasis,Madonna
The Beatles,Led Zeppelin
Taylor Swift,Led Zeppelin
All Time Low,Led Zeppelin
Ke$ha,Led Zeppelin
Cobra Starship,Led Zeppelin
Avril Lavigne,Led Zeppelin
The Kooks,Led Zeppelin
3OH!3,Led Zeppelin
Vampire Weekend,Led Zeppelin
blink-182,Led Zeppelin
Oasis,Led Zeppelin
The Beatles,Era
Taylor Swift,Era
All Time Low,Era
Ke$ha,Era
Cobra Starship,Era
Avril Lavigne,Era
The Kooks,Era
3OH!3,Era
Vampire Weekend,Era
blink-182,Era
Oasis,Era
The Beatles,Jimi Hendrix
Taylor Swift,Jimi Hendrix
All Time Low,Jimi Hendrix
Ke$ha,Jimi Hendrix
Cobra Starship,Jimi Hendrix
Avril Lavigne,Jimi Hendrix
The Kooks,Jimi Hendrix
3OH!3,Jimi Hendrix
Vampire Weekend,Jimi Hendrix
blink-182,Jimi Hendrix
Oasis,Jimi Hendrix
The Beatles,Mike Oldfield
Taylor Swift,Mike Oldfield
All Time Low,Mike Oldfield
Ke$ha,Mike Oldfield
Cobra Starship,Mike Oldfield
Avril Lavigne,Mike Oldfield
The Kooks,Mike Oldfield
3OH!3,Mike Oldfield
Vampire Weekend,Mike Oldfield
blink-182,Mike Oldfield
Oasis,Mike Oldfield
The Beatles,Hans Zimmer
Taylor Swift,Hans Zimmer
All Time Low,Hans Zimmer
Ke$ha,Hans Zimmer
Cobra Starship,Hans Zimmer
Avril Lavigne,Hans Zimmer
The Kooks,Hans Zimmer
3OH!3,Hans Zimmer
Vampire Weekend,Hans Zimmer
blink-182,Hans Zimmer
Oasis,Hans Zimmer
The Beatles,David Bowie
Taylor Swift,David Bowie
All Time Low,David Bowie
Ke$ha,David Bowie
Cobra Starship,David Bowie
Avril Lavigne,David Bowie
The Kooks,David Bowie
3OH!3,David Bowie
Vampire Weekend,David Bowie
blink-182,David Bowie
Oasis,David Bowie
The Beatles,Motörhead
Taylor Swift,Motörhead
All Time Low,Motörhead
Ke$ha,Motörhead
Cobra Starship,Motörhead
Avril Lavigne,Motörhead
The Kooks,Motörhead
3OH!3,Motörhead
Vampire Weekend,Motörhead
blink-182,Motörhead
Oasis,Motörhead
The Beatles,Lucio Battisti
Taylor Swift,Lucio Battisti
All Time Low,Lucio Battisti
Ke$ha,Lucio Battisti
Cobra Starship,Lucio Battisti
Avril Lavigne,Lucio Battisti
The Kooks,Lucio Battisti
3OH!3,Lucio Battisti
Vampire Weekend,Lucio Battisti
blink-182,Lucio Battisti
Oasis,Lucio Battisti
The Beatles,The Alan Parsons Project
Taylor Swift,The Alan Parsons Project
All Time Low,The Alan Parsons Project
Ke$ha,The Alan Parsons Project
Cobra Starship,The Alan Parsons Project
Avril Lavigne,The Alan Parsons Project
The Kooks,The Alan Parsons Project
3OH!3,The Alan Parsons Project
Vampire Weekend,The Alan Parsons Project
blink-182,The Alan Parsons Project
Oasis,The Alan Parsons Project
The Beatles,Mario Biondi
Taylor Swift,Mario Biondi
All Time Low,Mario Biondi
Ke$ha,Mario Biondi
Cobra Starship,Mario Biondi
Avril Lavigne,Mario Biondi
The Kooks,Mario Biondi
3OH!3,Mario Biondi
Vampire Weekend,Mario Biondi
blink-182,Mario Biondi
Oasis,Mario Biondi
The Beatles,Bryan Ferry
Taylor Swift,Bryan Ferry
All Time Low,Bryan Ferry
Ke$ha,Bryan Ferry
Cobra Starship,Bryan Ferry
Avril Lavigne,Bryan Ferry
The Kooks,Bryan Ferry
3OH!3,Bryan Ferry
Vampire Weekend,Bryan Ferry
blink-182,Bryan Ferry
Oasis,Bryan Ferry
The Beatles,John Williams
Taylor Swift,John Williams
All Time Low,John Williams
Ke$ha,John Williams
Cobra Starship,John Williams
Avril Lavigne,John Williams
The Kooks,John Williams
3OH!3,John Williams
Vampire Weekend,John Williams
blink-182,John Williams
Oasis,John Williams
The Beatles,Kansas
Taylor Swift,Kansas
All Time Low,Kansas
Ke$ha,Kansas
Cobra Starship,Kansas
Avril Lavigne,Kansas
The Kooks,Kansas
3OH!3,Kansas
Vampire Weekend,Kansas
blink-182,Kansas
Oasis,Kansas
The Beatles,Robert Miles
Taylor Swift,Robert Miles
All Time Low,Robert Miles
Ke$ha,Robert Miles
Cobra Starship,Robert Miles
Avril Lavigne,Robert Miles
The Kooks,Robert Miles
3OH!3,Robert Miles
Vampire Weekend,Robert Miles
blink-182,Robert Miles
Oasis,Robert Miles
The Beatles,Jethro Tull
Taylor Swift,Jethro Tull
All Time Low,Jethro Tull
Ke$ha,Jethro Tull
Cobra Starship,Jethro Tull
Avril Lavigne,Jethro Tull
The Kooks,Jethro Tull
3OH!3,Jethro Tull
Vampire Weekend,Jethro Tull
blink-182,Jethro Tull
Oasis,Jethro Tull
The Beatles,Frank Sinatra
Taylor Swift,Frank Sinatra
All Time Low,Frank Sinatra
Ke$ha,Frank Sinatra
Cobra Starship,Frank Sinatra
Avril Lavigne,Frank Sinatra
The Kooks,Frank Sinatra
3OH!3,Frank Sinatra
Vampire Weekend,Frank Sinatra
blink-182,Frank Sinatra
Oasis,Frank Sinatra
The Beatles,Ramones
Taylor Swift,Ramones
All Time Low,Ramones
Ke$ha,Ramones
Cobra Starship,Ramones
Avril Lavigne,Ramones
The Kooks,Ramones
3OH!3,Ramones
Vampire Weekend,Ramones
blink-182,Ramones
Oasis,Ramones
The Beatles,Barry White
Taylor Swift,Barry White
All Time Low,Barry White
Ke$ha,Barry White
Cobra Starship,Barry White
Avril Lavigne,Barry White
The Kooks,Barry White
3OH!3,Barry White
Vampire Weekend,Barry White
blink-182,Barry White
Oasis,Barry White
The Beatles,Van Halen
Taylor Swift,Van Halen
All Time Low,Van Halen
Ke$ha,Van Halen
Cobra Starship,Van Halen
Avril Lavigne,Van Halen
The Kooks,Van Halen
3OH!3,Van Halen
Vampire Weekend,Van Halen
blink-182,Van Halen
Oasis,Van Halen
The Beatles,Supertramp
Taylor Swift,Supertramp
All Time Low,Supertramp
Ke$ha,Supertramp
Cobra Starship,Supertramp
Avril Lavigne,Supertramp
The Kooks,Supertramp
3OH!3,Supertramp
Vampire Weekend,Supertramp
blink-182,Supertramp
Oasis,Supertramp
The Beatles,Muse
Taylor Swift,Muse
All Time Low,Muse
Ke$ha,Muse
Cobra Starship,Muse
Avril Lavigne,Muse
The Kooks,Muse
3OH!3,Muse
Vampire Weekend,Muse
blink-182,Muse
Oasis,Muse
The Beatles,Johnny Cash
Taylor Swift,Johnny Cash
All Time Low,Johnny Cash
Ke$ha,Johnny Cash
Cobra Starship,Johnny Cash
Avril Lavigne,Johnny Cash
The Kooks,Johnny Cash
3OH!3,Johnny Cash
Vampire Weekend,Johnny Cash
blink-182,Johnny Cash
Oasis,Johnny Cash
The Beatles,Cat Stevens
Taylor Swift,Cat Stevens
All Time Low,Cat Stevens
Ke$ha,Cat Stevens
Cobra Starship,Cat Stevens
Avril Lavigne,Cat Stevens
The Kooks,Cat Stevens
3OH!3,Cat Stevens
Vampire Weekend,Cat Stevens
blink-182,Cat Stevens
Oasis,Cat Stevens
The Beatles,Creedence Clearwater Revival
Taylor Swift,Creedence Clearwater Revival
All Time Low,Creedence Clearwater Revival
Ke$ha,Creedence Clearwater Revival
Cobra Starship,Creedence Clearwater Revival
Avril Lavigne,Creedence Clearwater Revival
The Kooks,Creedence Clearwater Revival
3OH!3,Creedence Clearwater Revival
Vampire Weekend,Creedence Clearwater Revival
blink-182,Creedence Clearwater Revival
Oasis,Creedence Clearwater Revival
The Beatles,Perry Como
Taylor Swift,Perry Como
All Time Low,Perry Como
Ke$ha,Perry Como
Cobra Starship,Perry Como
Avril Lavigne,Perry Como
The Kooks,Perry Como
3OH!3,Perry Como
Vampire Weekend,Perry Como
blink-182,Perry Como
Oasis,Perry Como
The Beatles,Deep Purple
Taylor Swift,Deep Purple
All Time Low,Deep Purple
Ke$ha,Deep Purple
Cobra Starship,Deep Purple
Avril Lavigne,Deep Purple
The Kooks,Deep Purple
3OH!3,Deep Purple
Vampire Weekend,Deep Purple
blink-182,Deep Purple
Oasis,Deep Purple
The Beatles,Enigma
Taylor Swift,Enigma
All Time Low,Enigma
Ke$ha,Enigma
Cobra Starship,Enigma
Avril Lavigne,Enigma
The Kooks,Enigma
3OH!3,Enigma
Vampire Weekend,Enigma
blink-182,Enigma
Oasis,Enigma
The Beatles,Bruce Springsteen
Taylor Swift,Bruce Springsteen
All Time Low,Bruce Springsteen
Ke$ha,Bruce Springsteen
Cobra Starship,Bruce Springsteen
Avril Lavigne,Bruce Springsteen
The Kooks,Bruce Springsteen
3OH!3,Bruce Springsteen
Vampire Weekend,Bruce Springsteen
blink-182,Bruce Springsteen
Oasis,Bruce Springsteen
The Beatles,Skid Row
Taylor Swift,Skid Row
All Time Low,Skid Row
Ke$ha,Skid Row
Cobra Starship,Skid Row
Avril Lavigne,Skid Row
The Kooks,Skid Row
3OH!3,Skid Row
Vampire Weekend,Skid Row
blink-182,Skid Row
Oasis,Skid Row
The Beatles,America
Taylor Swift,America
All Time Low,America
Ke$ha,America
Cobra Starship,America
Avril Lavigne,America
The Kooks,America
3OH!3,America
Vampire Weekend,America
blink-182,America
Oasis,America
The Beatles,Gipsy Kings
Taylor Swift,Gipsy Kings
All Time Low,Gipsy Kings
Ke$ha,Gipsy Kings
Cobra Starship,Gipsy Kings
Avril Lavigne,Gipsy Kings
The Kooks,Gipsy Kings
3OH!3,Gipsy Kings
Vampire Weekend,Gipsy Kings
blink-182,Gipsy Kings
Oasis,Gipsy Kings
Joy Division,U2
Belle and Sebastian,U2
Portishead,U2
Ramones,U2
The Cure,U2
The Smiths,U2
Crystal Castles,U2
Motörhead,U2
Joy Division,Moby
Belle and Sebastian,Moby
Portishead,Moby
Ramones,Moby
The Cure,Moby
The Smiths,Moby
Crystal Castles,Moby
Motörhead,Moby
Joy Division,Coldplay
Belle and Sebastian,Coldplay
Portishead,Coldplay
Ramones,Coldplay
The Cure,Coldplay
The Smiths,Coldplay
Crystal Castles,Coldplay
Motörhead,Coldplay
Joy Division,Iron Maiden
Belle and Sebastian,Iron Maiden
Portishead,Iron Maiden
Ramones,Iron Maiden
The Cure,Iron Maiden
The Smiths,Iron Maiden
Crystal Castles,Iron Maiden
Motörhead,Iron Maiden
Joy Division,Pink Floyd
Belle and Sebastian,Pink Floyd
Portishead,Pink Floyd
Ramones,Pink Floyd
The Cure,Pink Floyd
The Smiths,Pink Floyd
Crystal Castles,Pink Floyd
Motörhead,Pink Floyd
Joy Division,Metallica
Belle and Sebastian,Metallica
Portishead,Metallica
Ramones,Metallica
The Cure,Metallica
The Smiths,Metallica
Crystal Castles,Metallica
Motörhead,Metallica
Joy Division,James Horner
Belle and Sebastian,James Horner
Portishead,James Horner
Ramones,James Horner
The Cure,James Horner
The Smiths,James Horner
